tile_id,label_order,labeller,date_started,date_finished,minutes,status,notes
BMC_CROP_01,1,,,,,todo,
BMC_WATE_02,2,,,,,todo,
BMC_CROP_03,3,,,,,todo,
BMC_CROP_04,4,,,,,todo,
BMC_VEGE_05,5,,,,,todo,
BMC_BUIL_06,6,,,,,todo,
BMC_CROP_07,7,,,,,todo,
BMC_CROP_08,8,,,,,todo,
BMC_CROP_09,9,,,,,todo,
BMC_CROP_10,10,,,,,todo,
BMC_CROP_11,11,,,,,todo,
BMC_VEGE_12,12,,,,,todo,
BMC_CROP_13,13,,,,,todo,
BMC_CROP_14,14,,,,,todo,
BMC_WATE_15,15,,,,,todo,
BMC_BUIL_16,16,,,,,todo,
BMC_VEGE_17,17,,,,,todo,
BMC_CROP_18,18,,,,,todo,
BMC_CROP_19,19,,,,,todo,
BMC_BUIL_20,20,,,,,todo,
