label_order,event_clear_frac,event_date,post_clear_frac,post_date,pre_clear_frac,pre_date,stratum,tile_id
1,0.488,2020-10-20,0.994,2020-11-09,0.943,2020-09-10,cropland,BMC_CROP_01
2,0.58,2020-10-20,0.754,2020-11-19,0.333,2020-09-05,water,BMC_WATE_02
3,0.569,2020-10-20,1.0,2020-11-19,0.979,2020-09-10,cropland,BMC_CROP_03
4,0.109,2020-10-15,0.999,2020-11-09,0.986,2020-09-05,cropland,BMC_CROP_04
5,0.869,2020-10-20,0.991,2020-11-14,0.652,2020-09-10,vegetation,BMC_VEGE_05
6,0.477,2020-10-20,0.954,2020-11-19,0.793,2020-09-10,built,BMC_BUIL_06
7,0.64,2020-10-20,1.0,2020-11-19,1.0,2020-09-05,cropland,BMC_CROP_07
8,0.002,2020-10-20,1.0,2020-11-09,0.999,2020-09-10,cropland,BMC_CROP_08
9,0.507,2020-10-20,1.0,2020-11-09,0.739,2020-09-05,cropland,BMC_CROP_09
10,0.406,2020-10-20,1.0,2020-11-09,0.993,2020-09-10,cropland,BMC_CROP_10
11,0.675,2020-10-20,1.0,2020-11-19,0.999,2020-09-05,cropland,BMC_CROP_11
12,0.663,2020-10-15,0.752,2020-11-09,0.925,2020-09-05,vegetation,BMC_VEGE_12
13,0.853,2020-10-20,0.998,2020-11-09,0.894,2020-09-05,cropland,BMC_CROP_13
14,0.0,2020-10-20,0.889,2020-11-14,0.999,2020-09-25,cropland,BMC_CROP_14
15,0.776,2020-10-20,0.972,2020-11-19,0.942,2020-09-05,water,BMC_WATE_15
16,0.879,2020-10-20,0.901,2020-11-19,0.982,2020-09-25,built,BMC_BUIL_16
17,0.722,2020-10-15,1.0,2020-11-09,0.751,2020-09-05,vegetation,BMC_VEGE_17
18,0.623,2020-10-20,0.991,2020-11-19,0.96,2020-09-25,cropland,BMC_CROP_18
19,0.903,2020-10-15,1.0,2020-11-09,0.889,2020-09-05,cropland,BMC_CROP_19
20,0.949,2020-10-20,0.974,2020-11-19,0.807,2020-09-25,built,BMC_BUIL_20
