tile_id,stratum,label_order,event_date,event_clear_frac,ndwi_water_frac
BMC_CROP_01,cropland,1,2020-10-20,0.488,0.078
BMC_WATE_02,water,2,2020-10-20,0.58,0.861
BMC_CROP_03,cropland,3,2020-10-20,0.569,0.0
BMC_CROP_04,cropland,4,2020-10-15,0.109,0.0
BMC_VEGE_05,vegetation,5,2020-10-20,0.869,0.015
BMC_BUIL_06,built,6,2020-10-20,0.477,0.233
BMC_CROP_07,cropland,7,2020-10-20,0.64,0.0
BMC_CROP_08,cropland,8,2020-10-20,0.002,
BMC_CROP_09,cropland,9,2020-10-20,0.507,0.058
BMC_CROP_10,cropland,10,2020-10-20,0.406,0.131
BMC_CROP_11,cropland,11,2020-10-20,0.675,0.004
BMC_VEGE_12,vegetation,12,2020-10-15,0.663,0.389
BMC_CROP_13,cropland,13,2020-10-20,0.853,0.0
BMC_CROP_14,cropland,14,2020-10-20,0.0,
BMC_WATE_15,water,15,2020-10-20,0.776,0.805
BMC_BUIL_16,built,16,2020-10-20,0.879,0.208
BMC_VEGE_17,vegetation,17,2020-10-15,0.722,0.0
BMC_CROP_18,cropland,18,2020-10-20,0.623,0.0
BMC_CROP_19,cropland,19,2020-10-15,0.903,0.0
BMC_BUIL_20,built,20,2020-10-20,0.949,0.057
