chip,event,split,crs,h,w,label_values,vv_min,vv_max,vh_min,vh_max,wc_nodata_frac,ignore,flood_open_water,dry_open_water,flood_cropland,dry_cropland,flood_vegetation,dry_vegetation,flood_built,dry_built,flood_other,dry_other,flood_unknown,dry_unknown
Bolivia_103757,Bolivia,train,EPSG:4326,512,512,-1 0 1,-40.821441650390625,-0.6905989646911621,-48.24835968017578,-6.994661331176758,0.0,174067,0,0,0,0,35362,52715,0,0,0,0,0,0
Bolivia_129334,Bolivia,train,EPSG:4326,512,512,-1 0 1,-36.82529830932617,0.4744816720485687,-52.00426483154297,-6.3170928955078125,0.0,25079,4573,633,0,0,151385,80330,0,0,109,35,0,0
Bolivia_195474,Bolivia,train,EPSG:4326,512,512,-1 0 1,-23.107797622680664,7.00493049621582,-35.958290100097656,0.08897902816534042,0.0,809,0,0,0,0,1551,259744,0,23,0,17,0,0
Bolivia_23014,Bolivia,train,EPSG:4326,512,512,-1 0 1,-66.51229858398438,0.17055276036262512,-68.47930145263672,-6.397890090942383,0.0,79149,7355,932,0,0,222,173579,0,644,203,60,0,0
Bolivia_233925,Bolivia,train,EPSG:4326,512,512,-1 0 1,-68.71710968017578,-1.1250704526901245,-78.21723937988281,-6.185252666473389,0.0,115850,0,0,0,0,1,145999,0,0,0,294,0,0
Bolivia_242570,Bolivia,train,EPSG:4326,512,512,-1 0 1,-38.02528762817383,-1.0283496379852295,-54.61154556274414,-6.917205333709717,0.0,86637,5275,391,13,135,20118,146308,3,6,1937,1321,0,0
Bolivia_290290,Bolivia,train,EPSG:4326,512,512,-1 0 1,-40.59314727783203,1.619675874710083,-47.65573501586914,-4.674552917480469,0.0,57511,1763,67,0,1,17817,184790,0,19,119,57,0,0
Bolivia_294583,Bolivia,train,EPSG:4326,512,512,-1 0 1,-40.45533752441406,-0.09002670645713806,-48.29588317871094,-6.282449722290039,0.0,131672,11432,1930,0,5,2956,113325,0,0,620,204,0,0
Bolivia_312675,Bolivia,train,EPSG:4326,512,512,-1 0 1,-27.08976936340332,1.1514215469360352,-44.518531799316406,-5.498597621917725,0.0,104136,0,15,0,0,9574,148402,0,0,1,16,0,0
Bolivia_314919,Bolivia,train,EPSG:4326,512,512,-1 0 1,-40.037025451660156,8.278704643249512,-48.38965606689453,3.168764114379883,0.0,73299,1348,194,0,0,82191,104964,27,0,112,9,0,0
Bolivia_360519,Bolivia,train,EPSG:4326,512,512,-1 0 1,-60.1744270324707,0.6965633034706116,-73.74602508544922,-5.23923397064209,0.0,18466,0,0,6,14,399,242805,0,433,9,12,0,0
Bolivia_379434,Bolivia,train,EPSG:4326,512,512,0 1,-36.919776916503906,0.5694412589073181,-46.358943939208984,-6.112007141113281,0.0,0,952,249,3,5,9732,250876,0,0,103,224,0,0
Bolivia_432776,Bolivia,train,EPSG:4326,512,512,-1 0 1,-60.167659759521484,-0.21149562299251556,-72.9545669555664,-7.053070545196533,0.0,106747,2362,38,0,0,69712,83195,0,0,71,19,0,0
Bolivia_60373,Bolivia,train,EPSG:4326,512,512,-1 0 1,-35.225833892822266,-0.14513804018497467,-47.97657775878906,-6.573159694671631,0.0,63125,3763,4883,0,56,8594,181521,0,0,123,79,0,0
Bolivia_76104,Bolivia,train,EPSG:4326,512,512,-1 0 1,-21.967544555664062,0.31533199548721313,-34.948543548583984,-6.619078636169434,0.0,71179,0,0,0,0,5,190820,0,55,0,85,0,0
Ghana_103272,Ghana,train,EPSG:4326,512,512,-1 0 1,-39.31133270263672,8.586925506591797,-47.37702941894531,-1.3846466541290283,0.0,2875,347,76,433,219116,625,26315,0,7669,153,4535,0,0
Ghana_1033830,Ghana,valid,EPSG:4326,512,512,-1 0 1,-36.25850296020508,-1.369239330291748,-47.46397399902344,-7.660024642944336,0.0,28915,3863,18,10690,34910,77356,100793,2,0,4900,697,0,0
Ghana_1078550,Ghana,valid,EPSG:4326,512,512,0 1,-21.302204132080078,-0.6199936270713806,-33.612953186035156,-6.918473720550537,0.0,0,0,0,5,139,1374,259722,0,0,28,876,0,0
Ghana_1089161,Ghana,train,EPSG:4326,512,512,-1 0 1,-47.30429458618164,14.499911308288574,-47.39408874511719,4.60711145401001,0.0,25980,1152,7,622,173092,842,49031,16,9166,275,1961,0,0
Ghana_11745,Ghana,train,EPSG:4326,512,512,0,-22.41020393371582,-1.5771209001541138,-30.262853622436523,-7.6068902015686035,0.0,0,0,0,0,66190,0,195365,0,0,0,589,0,0
Ghana_124834,Ghana,valid,EPSG:4326,512,512,0,-20.214859008789062,-0.8555722832679749,-30.869009017944336,-8.633987426757812,0.0,0,0,0,0,1446,0,260477,0,0,0,221,0,0
Ghana_128663,Ghana,train,EPSG:4326,512,512,-1 0,-33.372314453125,7.974895477294922,-47.39174270629883,-6.1559648513793945,0.0,93296,0,116,0,138514,0,28174,0,1295,0,749,0,0
Ghana_132163,Ghana,valid,EPSG:4326,512,512,-1 0,-25.182476043701172,15.843454360961914,-39.17485427856445,4.389214515686035,0.0,206383,0,46,0,15466,0,7672,0,31500,0,1077,0,0
Ghana_134751,Ghana,train,EPSG:4326,512,512,-1 0,-19.562410354614258,-1.6273949146270752,-27.34563636779785,-7.688567638397217,0.0,224481,0,0,0,6,0,37507,0,0,0,150,0,0
