chip,event,threshold_db,all_iou,all_recall,all_precision,all_n_pos,cropland_iou,cropland_recall,cropland_precision,cropland_n_pos,open_water_iou,open_water_recall,open_water_precision,open_water_n_pos,vegetation_iou,vegetation_recall,vegetation_precision,vegetation_n_pos
Bolivia_103757,Bolivia,nan,0.8327320345279137,0.8811718794185849,0.9380738778336394,35362,nan,nan,nan,0,nan,nan,nan,0,0.8327320345279137,0.8811718794185849,0.9380738778336394,35362
Bolivia_129334,Bolivia,nan,0.8947939591252736,0.9456835846143002,0.9432720207585035,156067,nan,nan,nan,0,0.9358050847457627,0.9658867264377871,0.9677914110429447,4573,0.8936802788222508,0.9451398751527562,0.9425746226868779,151385
Bolivia_195474,Bolivia,nan,0.004502476361999099,0.006447453255963894,0.014705882352941176,1551,nan,nan,nan,0,nan,nan,nan,0,0.004502476361999099,0.006447453255963894,0.014705882352941176,1551
Bolivia_23014,Bolivia,nan,0.7337784268725225,0.9041131105398458,0.7957013574660633,7780,nan,nan,nan,0,0.921760391198044,0.9226376614547926,0.9989695274547328,7355,0.03336653386454183,0.30180180180180183,0.03615758229897464,222
Bolivia_233925,Bolivia,nan,0.0,0.0,0.0,1,nan,nan,nan,0,nan,nan,nan,0,0.0,0.0,0.0,1
Bolivia_242570,Bolivia,nan,0.3322295805739514,0.8695604475974549,0.349655182554737,27346,0.37037037037037035,0.7692307692307693,0.4166666666666667,13,0.9296073576229218,0.9963981042654029,0.9327417923691216,5275,0.2644382661443195,0.8320906650760513,0.2793445249140607,20118
Bolivia_290290,Bolivia,nan,0.5617621452202681,0.8188740545205341,0.6414681671769993,19699,nan,nan,nan,0,0.9385722191477587,0.9619965967101531,0.9747126436781609,1763,0.5363966052267544,0.8052421844306,0.6163594964986897,17817
Bolivia_294583,Bolivia,nan,0.75016090339945,0.8542777185501066,0.8602388620504563,15008,nan,nan,nan,0,0.8654631083202512,0.9644856543037089,0.8939516782876601,11432,0.33812754409769336,0.4215155615696888,0.6308860759493671,2956
Bolivia_312675,Bolivia,nan,0.5034885749171464,0.6029242819843342,0.7532620041753654,9575,nan,nan,nan,0,0.0,nan,0.0,0,0.5045005680328585,0.6029872571547943,0.7554305155718398,9574
Bolivia_314919,Bolivia,nan,0.8231479944674965,0.8890269843925525,0.917411732787431,83678,nan,nan,nan,0,0.9156272927366104,0.9258160237388724,0.9881235154394299,1348,0.8219626641461026,0.8887469430959594,0.9162370649106303,82191
Bolivia_360519,Bolivia,nan,0.07647584973166369,0.41304347826086957,0.08580030105368791,414,0.0,0.0,nan,6,nan,nan,nan,0,0.0769923457901846,0.42857142857142855,0.08580030105368791,399
Bolivia_379434,Bolivia,nan,0.1917359335038363,0.22233549582947174,0.5821402572191215,10790,0.6,1.0,0.6,3,0.04523107177974434,0.04831932773109244,0.4144144144144144,952,0.204925320056899,0.23684751335799425,0.6032452237634127,9732
Bolivia_432776,Bolivia,nan,0.7398090212924916,0.8784392542795758,0.8241865425130699,72145,nan,nan,nan,0,0.9755789473684211,0.980948348856901,0.9944206008583691,2362,0.7330649522321697,0.8750573789304568,0.8187638413529293,69712
Bolivia_60373,Bolivia,nan,0.6608213770591361,0.6975160256410257,0.9262609065758672,12480,nan,nan,nan,0,0.6062572421784472,0.6951900079723625,0.8257575757575758,3763,0.6889524899828277,0.7002559925529439,0.9771066731612275,8594
Bolivia_76104,Bolivia,nan,0.0,0.0,nan,5,nan,nan,nan,0,nan,nan,nan,0,0.0,0.0,nan,5
Ghana_103272,Ghana,nan,0.582018927444795,0.9473684210526315,0.6014669926650367,1558,0.5201037613488976,0.9260969976905312,0.5426251691474966,433,0.8407960199004975,0.9740634005763689,0.8600508905852418,347,0.5480591497227357,0.9488,0.5647619047619048,625
Ghana_1033830,Ghana,nan,0.24489711721932855,0.24526138558634866,0.9939718687206965,96811,0.5052484904784023,0.5087932647333957,0.9863982589771491,10690,0.9066459787949315,0.9075847786694279,0.9988603988603989,3863,0.18314389046757942,0.1832954134133099,0.9955065646282384,77356
Ghana_1078550,Ghana,nan,0.0,0.0,nan,1407,0.0,0.0,nan,5,nan,nan,nan,0,0.0,0.0,nan,1374
Ghana_1089161,Ghana,nan,0.6786684782608695,0.6873065015479877,0.9818181818181818,2907,0.0673076923076923,0.06752411575562701,0.9545454545454546,622,0.9826539462272333,0.9835069444444444,0.9991181657848325,1152,0.6655172413793103,0.6876484560570071,0.9538714991762768,842
Ghana_11745,Ghana,nan,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,0
Ghana_124834,Ghana,nan,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,0
Ghana_128663,Ghana,nan,0.0,nan,0.0,0,0.0,nan,0.0,0,0.0,nan,0.0,0,0.0,nan,0.0,0
Ghana_132163,Ghana,nan,0.0,nan,0.0,0,0.0,nan,0.0,0,0.0,nan,0.0,0,0.0,nan,0.0,0
Ghana_134751,Ghana,nan,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,0
Ghana_135389,Ghana,nan,0.0,0.0,nan,252,nan,nan,nan,0,nan,nan,nan,0,0.0,0.0,nan,233
Ghana_141271,Ghana,nan,0.0,0.0,nan,1636,0.0,0.0,nan,86,nan,nan,nan,0,0.0,0.0,nan,1203
Ghana_141910,Ghana,nan,0.3948924959632872,0.6577070063694268,0.49704236952731395,70650,0.45070504944122636,0.6743018878935543,0.5761262496572013,34271,0.7756376887038001,0.9313955305516487,0.8226363008971704,6399,0.29078868151715836,0.5782190767930707,0.3690751769861782,28401
Ghana_142312,Ghana,nan,0.0,nan,0.0,0,nan,nan,nan,0,nan,nan,nan,0,0.0,nan,0.0,0
Ghana_144050,Ghana,nan,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,0
Ghana_146222,Ghana,nan,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,0
Ghana_147015,Ghana,nan,0.0025495750708215297,0.0025495750708215297,1.0,3530,0.011049723756906077,0.011049723756906077,1.0,181,nan,nan,nan,0,0.0017421602787456446,0.0017421602787456446,1.0,2870
Ghana_154838,Ghana,nan,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,0
Ghana_156478,Ghana,nan,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,0
Ghana_161233,Ghana,nan,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,0
Ghana_167233,Ghana,nan,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,0
Ghana_168875,Ghana,nan,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,0
Ghana_187318,Ghana,nan,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,0
Ghana_194723,Ghana,nan,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,0
Ghana_234935,Ghana,nan,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,0
Ghana_247288,Ghana,nan,0.35256104277583994,0.3603001876172608,0.9425738686561304,26650,0.5499528746465598,0.5546577946768061,0.9848101265822785,2104,0.9046590558469608,0.9272612270714737,0.9737628694785786,3162,0.24675261255982028,0.25217087533685995,0.9198980520662662,20038
Ghana_24858,Ghana,nan,0.0,0.0,nan,484,0.0,0.0,nan,7,nan,nan,nan,0,0.0,0.0,nan,386
Ghana_26376,Ghana,nan,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,0
Ghana_264787,Ghana,nan,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,0
Ghana_277,Ghana,nan,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,0
Ghana_308249,Ghana,nan,0.26418373680943513,0.2650062266500623,0.988388295401765,8030,0.2534696859021183,0.2543056064492488,0.9871977240398293,2729,0.7159640635798203,0.717948717948718,0.9961538461538462,1443,0.11164364251480124,0.11202263083451203,0.9705882352941176,3535
Ghana_313799,Ghana,nan,0.00428580995111498,0.00428580995111498,1.0,14933,0.0,0.0,nan,274,nan,nan,nan,0,0.0045121263395375075,0.0045121263395375075,1.0,14184
Ghana_319168,Ghana,nan,0.383281502674462,0.3898180714050758,0.9580845771144278,39521,0.4944917026913959,0.5073324272122469,0.9513078470824949,13979,0.9591836734693877,0.9591836734693877,1.0,98,0.31588966746324276,0.3196049504139005,0.9645065545387089,24402
Ghana_359826,Ghana,nan,0.2620650953984287,0.267162471395881,0.9321357285429142,3496,0.21338912133891214,0.23323170731707318,0.7149532710280374,656,nan,nan,nan,0,0.26904848705796575,0.26973684210526316,0.9906040268456375,2736
