chip,event,threshold_db,all_iou,all_recall,all_precision,all_n_pos,cropland_iou,cropland_recall,cropland_precision,cropland_n_pos,open_water_iou,open_water_recall,open_water_precision,open_water_n_pos,vegetation_iou,vegetation_recall,vegetation_precision,vegetation_n_pos
Bolivia_103757,Bolivia,-19.6484375,0.8076991988533108,0.8923703410440585,0.8948756486969345,35362,nan,nan,nan,0,nan,nan,nan,0,0.8076991988533108,0.8923703410440585,0.8948756486969345,35362
Bolivia_129334,Bolivia,-19.6484375,0.8762116665970735,0.941191923981367,0.9269608678366559,156067,nan,nan,nan,0,0.9317217981340119,0.9608572053356659,0.9684813753581661,4573,0.8746828989637783,0.9406546223205734,0.9257698983870654,151385
Bolivia_195474,Bolivia,-19.6484375,0.03583617747440273,0.16247582205029013,0.04395604395604396,1551,nan,nan,nan,0,nan,nan,nan,0,0.03583617747440273,0.16247582205029013,0.04395604395604396,1551
Bolivia_23014,Bolivia,-19.6484375,0.6914274631497285,0.916452442159383,0.7379424549782654,7780,nan,nan,nan,0,0.9282419967444384,0.9303874915023793,0.9975218658892129,7355,0.03694126339120798,0.45045045045045046,0.03868471953578337,222
Bolivia_233925,Bolivia,-19.6484375,0.0,0.0,0.0,1,nan,nan,nan,0,nan,nan,nan,0,0.0,0.0,0.0,1
Bolivia_242570,Bolivia,-19.6484375,0.29400716668726057,0.8701089738901485,0.30750342474605186,27346,0.20408163265306123,0.7692307692307693,0.21739130434782608,13,0.9285840551529079,0.995829383886256,0.9322094055013309,5275,0.23003234464248848,0.8307485833581867,0.24134296028880867,20118
Bolivia_290290,Bolivia,-19.6484375,0.5067082683307332,0.8244073303213361,0.5680109125249204,19699,nan,nan,nan,0,0.9347345132743363,0.9585933068633012,0.9740634005763689,1763,0.480547981645275,0.8111354324521525,0.5410910180089109,17817
Bolivia_294583,Bolivia,-19.6484375,0.6826971752556444,0.8985874200426439,0.7396884598508118,15008,0.0,nan,0.0,0,0.8648247873253727,0.969296710986704,0.8891831166746911,11432,0.29081306017925734,0.61468200270636,0.35564689763163043,2956
Bolivia_312675,Bolivia,-19.6484375,0.42095634620237193,0.6969190600522194,0.5152895752895753,9575,nan,nan,nan,0,0.0,nan,0.0,0,0.42162128009098376,0.6969918529350324,0.5162463252359585,9574
Bolivia_314919,Bolivia,-19.6484375,0.7777003339332341,0.893400893902818,0.8572476980058941,83678,nan,nan,nan,0,0.9210144927536232,0.9428783382789317,0.97544128933231,1348,0.7756942168852996,0.8928349819323284,0.8553295646599453,82191
Bolivia_360519,Bolivia,-19.6484375,0.041995268138801264,0.5144927536231884,0.043728187230548145,414,0.0,0.0,nan,6,nan,nan,nan,0,0.042161520190023755,0.5338345864661654,0.043773119605425403,399
Bolivia_379434,Bolivia,-19.6484375,0.20028188180404355,0.3819277108433735,0.2963255914287769,10790,0.375,1.0,0.375,3,0.31508078994614,0.36869747899159666,0.6842105263157895,952,0.1925242414763841,0.37946979038224415,0.28098607623830174,9732
Bolivia_432776,Bolivia,-19.6484375,0.6719755574335305,0.8596853558805184,0.7547550958320657,72145,nan,nan,nan,0,0.9747580984434161,0.980948348856901,0.9935677530017153,2362,0.6639026779155444,0.8556489557034657,0.7476404747878621,69712
Bolivia_60373,Bolivia,-19.6484375,0.5984242198647559,0.7729166666666667,0.7260820474219044,12480,0.0,nan,0.0,0,0.5571030640668524,0.6909380813180973,0.7420091324200914,3763,0.6156630761080699,0.8113800325808703,0.7184956208140134,8594
