chip,event,threshold_db,all_iou,all_recall,all_precision,all_n_pos,cropland_iou,cropland_recall,cropland_precision,cropland_n_pos,open_water_iou,open_water_recall,open_water_precision,open_water_n_pos,vegetation_iou,vegetation_recall,vegetation_precision,vegetation_n_pos
Bolivia_103757,Bolivia,-20.289310455322266,0.8013584117032393,0.8674848707652282,0.9131392510567363,35362,nan,nan,nan,0,nan,nan,nan,0,0.8013584117032393,0.8674848707652282,0.9131392510567363,35362
Bolivia_129334,Bolivia,-21.077136993408203,0.853968234597807,0.8967686954961651,0.9470692525274398,156067,nan,nan,nan,0,0.9216983144868786,0.9446752678766674,0.9742895805142084,4573,0.8520870002514458,0.8953991478680187,0.9462808474990401,151385
Bolivia_195474,Bolivia,-14.484819412231445,0.012379975220690724,0.8246292714377821,0.012412655279503106,1551,nan,nan,nan,0,nan,nan,nan,0,0.012382492182281128,0.8246292714377821,0.012415185548296915,1551
Bolivia_23014,Bolivia,-20.619670867919922,0.7277118555077181,0.890745501285347,0.7990314769975787,7780,nan,nan,nan,0,0.9031076129732664,0.9048266485384092,0.99790073474284,7355,0.045548654244306416,0.3963963963963964,0.048943270300333706,222
Bolivia_233925,Bolivia,-15.513002395629883,0.0,0.0,0.0,1,nan,nan,nan,0,nan,nan,nan,0,0.0,0.0,0.0,1
Bolivia_242570,Bolivia,-19.959848403930664,0.3015708569134539,0.8515687851971038,0.3183023510114817,27346,0.21739130434782608,0.7692307692307693,0.23255813953488372,13,0.9273466501679335,0.9945023696682465,0.9321250888415068,5275,0.23547662196447988,0.8073367133909931,0.2494969200755772,20118
Bolivia_290290,Bolivia,-18.358015060424805,0.4461103253182461,0.8806030762982893,0.47483097473517094,19699,nan,nan,nan,0,0.946556473829201,0.9744753261486103,0.9706214689265537,1763,0.4207616208158287,0.8713026884436212,0.44864458701809146,17817
Bolivia_294583,Bolivia,-18.509014129638672,0.6268306971294669,0.9268390191897654,0.6594604845209311,15008,0.0,nan,0.0,0,0.8689986814550531,0.9800559832050385,0.8846427161468614,11432,0.2451688009313155,0.7124492557510149,0.27209302325581397,2956
Bolivia_312675,Bolivia,-16.244321823120117,0.21823001727851546,0.9629242819843342,0.22007924762495823,9575,nan,nan,nan,0,0.0,nan,0.0,0,0.2183695703661598,0.9630248589931063,0.22021591669055127,9574
Bolivia_314919,Bolivia,-20.29434585571289,0.7687005143308364,0.8608953368866369,0.8777201062455833,83678,nan,nan,nan,0,0.9061818181818182,0.9243323442136498,0.9787902592301649,1348,0.7667577769100612,0.8600941708946235,0.8760176958251236,82191
Bolivia_360519,Bolivia,-14.768381118774414,0.004574895860923166,0.9178743961352657,0.004576769282651635,414,0.3157894736842105,1.0,0.3157894736842105,6,nan,nan,nan,0,0.00441794215634204,0.9172932330827067,0.0044197026965016725,399
Bolivia_379434,Bolivia,-15.623490333557129,0.0972261567516525,0.7633920296570899,0.10024705782126644,10790,0.375,1.0,0.375,3,0.6140797285835454,0.7605042016806722,0.7613038906414301,952,0.08908570879200116,0.7617139334155364,0.09163957326344678,9732
Bolivia_432776,Bolivia,-20.557865142822266,0.6624348064781773,0.8027999168341534,0.7911754661566833,72145,nan,nan,nan,0,0.9638199411022297,0.9699407281964437,0.9934952298352124,2362,0.6539538714991763,0.7971798255680514,0.7844750921076777,69712
Bolivia_60373,Bolivia,-16.84314727783203,0.30239107332624865,0.9120192307692307,0.3114772043128455,12480,0.0,nan,0.0,0,0.5575312019148573,0.866595801222429,0.6098746960912661,3763,0.25420353982300886,0.9358855015126832,0.2587088680883914,8594
Bolivia_76104,Bolivia,-15.08471965789795,1.2397411420495401e-05,0.2,1.2398026234223512e-05,5,nan,nan,nan,0,nan,nan,nan,0,1.2412646003748618e-05,0.2,1.2413262329472809e-05,5
Ghana_103272,Ghana,-15.847095489501953,0.017388957000011248,0.9922978177150192,0.017391304347826087,1558,0.005955959454736107,0.9838337182448037,0.0059565424089040525,433,0.8261904761904761,1.0,0.8261904761904761,347,0.05890736342042755,0.992,0.058935361216730035,625
Ghana_1033830,Ghana,-19.5545654296875,0.5498451950938753,0.5723419859313508,0.9332828027623379,96811,0.6974306964164977,0.7719363891487372,0.8784330423674686,10690,0.9545219638242894,0.9562516179135387,0.9981086192920832,3863,0.5079258094310891,0.5260613268524743,0.9364414580265096,77356
Ghana_1078550,Ghana,-16.668214797973633,0.0078026858224667815,0.6268656716417911,0.007839094149120545,1407,0.0847457627118644,1.0,0.0847457627118644,5,nan,nan,nan,0,0.007584649310001423,0.6208151382823872,0.007619949438553549,1374
