chip,event,split,slope_p90,fp_jrc_permanent_water,fp_wc_open_water,fp_terrain,fp_smooth_built_other,fp_dry_cropland,fp_dry_vegetation,fp_unknown,fn_bright_cropland,fn_bright_cropland_vv_dark,fn_bright_cropland_vv_bright,fn_bright_vegetation,fn_bright_vegetation_vv_dark,fn_bright_vegetation_vv_bright,fn_rough_open_water,fn_rough_open_water_vv_dark,fn_rough_open_water_vv_bright,fn_built,fn_built_vv_dark,fn_built_vv_bright,fn_other,fn_other_vv_dark,fn_other_vv_bright,fp_total,fn_total,tp_total
Bolivia_103757,Bolivia,train,4.255086278915407,0,0,38,0,0,3669,0,0,0,0,3806,2329,1477,0,0,0,0,0,0,0,0,0,3707,3806,31556
Bolivia_129334,Bolivia,train,1.8487539291381847,87,77,65,12,0,11333,0,0,0,0,8984,4853,4131,179,74,105,0,0,0,15,10,5,11574,9178,146889
Bolivia_195474,Bolivia,train,5.310227918624879,0,0,71,0,0,5410,0,0,0,0,1299,364,935,0,0,0,0,0,0,0,0,0,5481,1299,252
Bolivia_23014,Bolivia,train,2.5520571947097777,37,7,2,23,0,2463,0,0,0,0,122,25,97,512,284,228,0,0,0,16,6,10,2532,650,7130
Bolivia_233925,Bolivia,train,1.7147636890411406,0,0,19,13,0,3925,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3957,1,0
Bolivia_242570,Bolivia,train,0.5711890757083893,0,382,0,629,36,52537,0,3,0,3,3405,1646,1759,22,21,1,3,1,2,119,76,43,53584,3552,23794
Bolivia_290290,Bolivia,train,2.265072584152223,31,14,0,49,0,12257,0,0,0,0,3365,675,2690,73,56,17,0,0,0,21,15,6,12351,3459,16240
Bolivia_294583,Bolivia,train,4.607195186614992,1229,242,128,59,5,3083,0,0,0,0,1139,632,507,351,252,99,0,0,0,32,26,6,4746,1522,13486
Bolivia_312675,Bolivia,train,5.294649982452395,0,15,82,9,0,6171,0,0,0,0,2901,1105,1796,0,0,0,0,0,0,1,0,1,6277,2902,6673
Bolivia_314919,Bolivia,train,3.8828853130340604,8,24,368,5,0,12044,0,0,0,0,8808,4611,4197,77,60,17,27,4,23,8,7,1,12449,8920,74758
Bolivia_360519,Bolivia,train,1.8915969729423527,0,0,0,5,0,4653,0,6,4,2,186,69,117,0,0,0,0,0,0,9,2,7,4658,201,213
Bolivia_379434,Bolivia,train,3.214748668670654,0,162,465,167,5,8987,0,0,0,0,6039,1181,4858,601,184,417,0,0,0,29,20,9,9786,6669,4121
Bolivia_432776,Bolivia,train,3.848857164382935,0,15,49,4,0,20085,0,0,0,0,10063,4724,5339,45,33,12,0,0,0,15,7,8,20153,10123,62022
Bolivia_60373,Bolivia,train,1.4945482254028324,908,15,0,1,2,2713,0,0,0,0,1621,916,705,1163,660,503,0,0,0,50,3,47,3639,2834,9646
Bolivia_76104,Bolivia,train,1.9076627492904665,0,0,13,25,0,4914,0,0,0,0,5,1,4,0,0,0,0,0,0,0,0,0,4952,5,0
Ghana_103272,Ghana,train,2.36205575466156,54,45,4,1087,4804,1305,0,18,8,10,7,2,5,2,0,2,0,0,0,5,4,1,7299,32,1526
Ghana_1033830,Ghana,train,2.638405942916871,4,3,16,47,1074,2580,0,2528,1436,1092,37411,18785,18626,177,129,48,1,0,1,2188,1425,763,3724,42305,54506
Ghana_1078550,Ghana,train,2.972849202156067,0,0,74,80,6,17212,0,1,0,1,1029,185,844,0,0,0,0,0,0,24,7,17,17372,1054,353
Ghana_1089161,Ghana,train,3.1187005043029785,0,2,121,602,5745,1618,0,480,104,376,128,24,104,8,6,2,5,2,3,12,5,7,8088,633,2274
Ghana_11745,Ghana,train,3.691596865653992,0,0,44,35,1760,5153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6992,0,0
Ghana_124834,Ghana,train,4.433854961395264,0,0,602,40,155,9407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10204,0,0
Ghana_128663,Ghana,train,1.6024648427963257,34,79,6,194,2584,613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3510,0,0
Ghana_132163,Ghana,train,2.8191457509994513,0,27,9,947,320,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1414,0,0
Ghana_134751,Ghana,train,4.048683214187622,0,0,2,5,0,571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578,0,0
Ghana_135389,Ghana,train,2.916272950172425,0,0,2,0,0,670,0,0,0,0,222,26,196,0,0,0,0,0,0,14,4,10,672,236,16
Ghana_141271,Ghana,train,7.633580446243287,0,0,2174,222,199,12445,0,73,21,52,1062,199,863,0,0,0,5,2,3,252,87,165,15040,1392,244
Ghana_141910,Ghana,train,3.4022073984146117,481,873,297,1130,26792,52876,0,6614,2387,4227,7845,2788,5057,414,224,190,0,0,0,352,102,250,82449,15225,55425
Ghana_142312,Ghana,train,3.9994986772537233,0,0,96,940,34,17482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18552,0,0
Ghana_144050,Ghana,train,3.797967791557313,0,0,14,194,781,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2132,0,0
Ghana_146222,Ghana,train,2.3284793138504027,0,0,0,4,246,1505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1755,0,0
Ghana_147015,Ghana,train,4.611774015426637,0,0,782,193,789,13153,0,129,31,98,2119,565,1554,0,0,0,0,0,0,271,84,187,14917,2519,1011
Ghana_154838,Ghana,train,1.8603000402450565,0,0,0,4,584,852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,0
Ghana_156478,Ghana,train,2.7688551664352423,0,0,7,68,4081,1891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6047,0,0
