chip,n_crop_flood,n_bright,frac_bright,bright_vv_median,bright_vh_median,bright_frac_vv_dark,dry_crop_vv_median
Mekong_1248200,159441,11560,0.07250330843384073,-11.068700790405273,-17.474319458007812,0.38780276816608994,-8.543575286865234
Mekong_922373,59082,7943,0.1344402694560103,-9.050926208496094,-17.090744018554688,0.22925846657434218,-8.722383499145508
Mekong_1396181,84159,6411,0.0761772359462446,-11.93404483795166,-17.700716018676758,0.5027296833567306,-9.313720703125
Mekong_1439641,91683,5579,0.060850975644339736,-11.092611312866211,-17.630023956298828,0.3982792615164008,-8.836623191833496
Mekong_1443339,73998,3961,0.05352847374253358,-11.43955135345459,-17.471845626831055,0.43574854834637716,-8.56486701965332
Mekong_1149855,8355,2184,0.2614003590664273,-10.072568893432617,-17.258975982666016,0.304029304029304,-8.514251708984375
Mekong_474783,5554,2022,0.3640619373424559,-10.047954559326172,-18.255138397216797,0.2606330365974283,-8.12635612487793
Mekong_52610,68194,1744,0.02557409742792621,-12.587154388427734,-17.765193939208984,0.588302752293578,-8.881673812866211
Mekong_774566,5339,1302,0.24386589248923018,-11.115865707397461,-17.94867515563965,0.3617511520737327,-9.565391540527344
Mekong_119477,2549,903,0.35425657120439386,-11.384827613830566,-18.19116973876953,0.4097452934662237,-9.053735733032227
Mekong_596495,10013,903,0.09018276240886847,-12.178911209106445,-17.936384201049805,0.530454042081949,-9.827932357788086
Mekong_342411,14714,882,0.05994291151284491,-11.765371322631836,-18.162242889404297,0.48072562358276644,-8.551315307617188
Mekong_1111068,6372,855,0.134180790960452,-10.421935081481934,-18.389244079589844,0.2795321637426901,-8.66840648651123
Mekong_1413877,1819,644,0.35404068169323805,-10.705068588256836,-18.042999267578125,0.32919254658385094,-8.704776763916016
Mekong_333434,1440,507,0.35208333333333336,-11.300691604614258,-17.978466033935547,0.398422090729783,-10.179793357849121
Mekong_16233,40007,501,0.012522808508511011,-12.30246639251709,-17.734130859375,0.5588822355289421,-7.858016014099121
Mekong_293769,2888,442,0.1530470914127424,-12.544500350952148,-17.993627548217773,0.5723981900452488,-9.239641189575195
Mekong_98310,2005,432,0.21546134663341646,-11.279242515563965,-18.213054656982422,0.3888888888888889,-9.304014205932617
Mekong_424793,1828,367,0.20076586433260393,-11.125103950500488,-18.316743850708008,0.3814713896457766,-8.840957641601562
Mekong_1282475,7424,262,0.03529094827586207,-12.867027282714844,-18.263378143310547,0.6526717557251909,-7.826835632324219
Mekong_1395593,2565,148,0.05769980506822612,-9.161872863769531,-16.664817810058594,0.22297297297297297,-8.436359405517578
Mekong_846007,3297,105,0.03184713375796178,-13.709571838378906,-17.84033966064453,0.6952380952380952,-8.343361854553223
Mekong_45934,142,85,0.5985915492957746,-10.436138153076172,-17.631214141845703,0.3058823529411765,-8.31335163116455
Mekong_1191208,276,70,0.2536231884057971,-10.999519348144531,-18.438156127929688,0.38571428571428573,-9.003961563110352
Mekong_269835,387,53,0.13695090439276486,-11.754770278930664,-17.440135955810547,0.4339622641509434,-8.932867050170898
Mekong_254910,110,36,0.32727272727272727,-12.204421043395996,-17.673572540283203,0.5277777777777778,-8.794181823730469
Mekong_213094,101,33,0.32673267326732675,-9.577022552490234,-18.39190101623535,0.030303030303030304,-8.663764953613281
Mekong_382276,980,22,0.022448979591836733,-13.678366661071777,-17.532175064086914,0.7272727272727273,-8.120189666748047
Mekong_977338,42,4,0.09523809523809523,-14.44752311706543,-16.07102394104004,1.0,-8.9632568359375
Mekong_221789,0,0,0.0,nan,nan,nan,nan
