method,date,role,land_type,new_water_km2,land_type_km2
otsu_vh_global,2020-09-26,pre,open_water,19.0956,35.165600000000005
otsu_vh_global,2020-09-26,pre,cropland,59.4568,5273.4548
otsu_vh_global,2020-09-26,pre,vegetation,19.8936,641.1308
otsu_vh_global,2020-09-26,pre,built,0.0796,80.9568
otsu_vh_global,2020-09-26,pre,other,2.8512,117.486
otsu_vh_global,2020-09-26,pre,unknown,0.0,0.0
unet_vv_ce,2020-09-26,pre,open_water,15.405600000000002,35.165600000000005
unet_vv_ce,2020-09-26,pre,cropland,37.038000000000004,5273.4548
unet_vv_ce,2020-09-26,pre,vegetation,7.1008000000000004,641.1308
unet_vv_ce,2020-09-26,pre,built,0.0852,80.9568
unet_vv_ce,2020-09-26,pre,other,1.3920000000000001,117.486
unet_vv_ce,2020-09-26,pre,unknown,0.0,0.0
unet_vvvh_cropw,2020-09-26,pre,open_water,22.7588,35.165600000000005
unet_vvvh_cropw,2020-09-26,pre,cropland,153.0432,5273.4548
unet_vvvh_cropw,2020-09-26,pre,vegetation,36.9048,641.1308
unet_vvvh_cropw,2020-09-26,pre,built,0.272,80.9568
unet_vvvh_cropw,2020-09-26,pre,other,7.8508000000000004,117.486
unet_vvvh_cropw,2020-09-26,pre,unknown,0.0,0.0
otsu_vh_global,2020-10-14,peak,open_water,21.786,35.165600000000005
otsu_vh_global,2020-10-14,peak,cropland,858.9916000000001,5273.4548
otsu_vh_global,2020-10-14,peak,vegetation,76.3356,641.1308
otsu_vh_global,2020-10-14,peak,built,0.3412,80.9568
otsu_vh_global,2020-10-14,peak,other,7.3612,117.486
otsu_vh_global,2020-10-14,peak,unknown,0.0,0.0
unet_vv_ce,2020-10-14,peak,open_water,22.3468,35.165600000000005
unet_vv_ce,2020-10-14,peak,cropland,1041.5832,5273.4548
unet_vv_ce,2020-10-14,peak,vegetation,96.94640000000001,641.1308
unet_vv_ce,2020-10-14,peak,built,4.9888,80.9568
unet_vv_ce,2020-10-14,peak,other,16.5788,117.486
unet_vv_ce,2020-10-14,peak,unknown,0.0,0.0
unet_vvvh_cropw,2020-10-14,peak,open_water,23.6812,35.165600000000005
unet_vvvh_cropw,2020-10-14,peak,cropland,1235.9816,5273.4548
unet_vvvh_cropw,2020-10-14,peak,vegetation,122.50200000000001,641.1308
unet_vvvh_cropw,2020-10-14,peak,built,2.4644,80.9568
unet_vvvh_cropw,2020-10-14,peak,other,21.2424,117.486
unet_vvvh_cropw,2020-10-14,peak,unknown,0.0,0.0
otsu_vh_global,2020-11-01,post,open_water,20.820800000000002,35.165600000000005
otsu_vh_global,2020-11-01,post,cropland,780.0136,5273.4548
otsu_vh_global,2020-11-01,post,vegetation,90.2732,641.1308
otsu_vh_global,2020-11-01,post,built,0.1452,80.9568
otsu_vh_global,2020-11-01,post,other,4.2172,117.486
otsu_vh_global,2020-11-01,post,unknown,0.0,0.0
unet_vv_ce,2020-11-01,post,open_water,21.642,35.165600000000005
unet_vv_ce,2020-11-01,post,cropland,987.7436,5273.4548
unet_vv_ce,2020-11-01,post,vegetation,131.26160000000002,641.1308
unet_vv_ce,2020-11-01,post,built,2.612,80.9568
unet_vv_ce,2020-11-01,post,other,12.8168,117.486
unet_vv_ce,2020-11-01,post,unknown,0.0,0.0
unet_vvvh_cropw,2020-11-01,post,open_water,23.4004,35.165600000000005
unet_vvvh_cropw,2020-11-01,post,cropland,1059.1372000000001,5273.4548
unet_vvvh_cropw,2020-11-01,post,vegetation,141.964,641.1308
unet_vvvh_cropw,2020-11-01,post,built,1.4452,80.9568
unet_vvvh_cropw,2020-11-01,post,other,16.864,117.486
unet_vvvh_cropw,2020-11-01,post,unknown,0.0,0.0
