method,land_type,flood_peak_km2,flood_post_km2,water_pre_km2
otsu_vh_global,open_water,3.2292,2.5296000000000003,28.3808
otsu_vh_global,cropland,815.4796,745.2280000000001,59.4632
otsu_vh_global,vegetation,57.8248,72.492,19.9308
otsu_vh_global,built,0.298,0.1124,0.08
otsu_vh_global,other,5.4108,2.7104,2.8544
otsu_vh_global,unknown,0.0,0.0,0.0
unet_vv_ce,open_water,7.98,7.437600000000001,23.9068
unet_vv_ce,cropland,1012.7556000000001,961.0476000000001,37.044000000000004
unet_vv_ce,vegetation,90.1764,125.2076,7.1292
unet_vv_ce,built,4.912,2.5384,0.0852
unet_vv_ce,other,15.4356,11.9512,1.3952
unet_vv_ce,unknown,0.0,0.0,0.0
unet_vvvh_cropw,open_water,1.5828,1.5716,32.1908
unet_vvvh_cropw,cropland,1112.7368000000001,949.9112,153.0624
unet_vvvh_cropw,vegetation,87.178,108.3208,36.9656
unet_vvvh_cropw,built,2.2388,1.2356,0.272
unet_vvvh_cropw,other,14.543600000000001,10.686,7.8588000000000005
unet_vvvh_cropw,unknown,0.0,0.0,0.0
