year,method,pre_date,october_date,water_pre_km2,water_october_km2,flood_km2,flood_cropland_km2,flood_vegetation_km2
2018,otsu_vh_global,2018-09-25,2018-10-13,569.8256,489.4784,149.31560000000002,130.8792,13.9128
2018,unet_vv_ce,2018-09-25,2018-10-13,676.4564,541.8860000000001,67.7924,61.0296,4.664000000000001
2018,unet_vvvh_cropw,2018-09-25,2018-10-13,1098.326,953.8684000000001,159.5328,137.84720000000002,16.7176
2019,otsu_vh_global,2019-09-26,2019-10-14,946.2472,544.3616000000001,300.226,282.35400000000004,15.3704
2019,unet_vv_ce,2019-09-26,2019-10-14,1044.5292,652.1308,358.168,333.14840000000004,21.3196
2019,unet_vvvh_cropw,2019-09-26,2019-10-14,1873.2444,1103.0048000000002,422.60760000000005,385.62600000000003,32.5752
2020,otsu_vh_global,2020-09-26,2020-10-14,110.70920000000001,974.2760000000001,882.2424000000001,815.4796,57.8248
2020,unet_vv_ce,2020-09-26,2020-10-14,69.5604,1191.9660000000001,1131.2596,1012.7556000000001,90.1764
2020,unet_vvvh_cropw,2020-09-26,2020-10-14,230.3496,1415.4160000000002,1218.28,1112.7368000000001,87.178
2021,otsu_vh_global,2021-09-27,2021-10-15,2054.1992,989.0212,63.856,56.156000000000006,6.3456
2021,unet_vv_ce,2021-09-27,2021-10-15,2359.6868,1387.3556,54.1092,42.4604,11.0324
2021,unet_vvvh_cropw,2021-09-27,2021-10-15,2951.6064,1594.9836,40.528400000000005,32.1784,7.71
2022,otsu_vh_global,2022-09-28,2022-10-10,1402.0344,1463.2124000000001,369.39520000000005,344.3648,20.572400000000002
2022,unet_vv_ce,2022-09-28,2022-10-10,779.5308,1847.5696,1217.1580000000001,1070.4536,109.97640000000001
2022,unet_vvvh_cropw,2022-09-28,2022-10-10,2251.7576,2078.3548,270.4332,233.7384,29.5656
