chip,n_valid,vv_offset_median,vh_offset_median,vv_corr,vh_corr,otsu_vh_global_sigma0_bright_rec,otsu_vh_global_sigma0_crop_prec,otsu_vh_global_gamma0_bright_rec,otsu_vh_global_gamma0_crop_prec,unet_vv_ce_sigma0_bright_rec,unet_vv_ce_sigma0_crop_prec,unet_vv_ce_gamma0_bright_rec,unet_vv_ce_gamma0_crop_prec,unet_vvvh_cropw_sigma0_bright_rec,unet_vvvh_cropw_sigma0_crop_prec,unet_vvvh_cropw_gamma0_bright_rec,unet_vvvh_cropw_gamma0_crop_prec
Mekong_1111068,262098,1.5184311866760254,1.771139144897461,0.2359910997984951,0.6462149648207053,0.0,0.0704930810216833,0.26900584795321636,0.058127619934792735,0.0011695906432748538,0.860248447204969,0.0,0.2857142857142857,0.6923976608187135,0.06431474556982604,0.1847953216374269,0.07036880033912675
Mekong_1149855,224775,1.6708617210388184,1.8227720260620117,0.44010844748078987,0.4684179842700671,0.0,0.6915322580645161,0.17514901421366347,0.7876106194690266,0.176983035304906,0.9157206742346061,0.1361760660247593,0.8525252525252526,0.520861989912884,0.7480075503355704,0.19807427785419532,0.7799607072691552
Mekong_1191208,202312,1.7839000225067139,2.034520149230957,0.8593588738744913,0.796422918188966,0.0,0.23356009070294784,0.08571428571428572,0.36649214659685864,0.12857142857142856,0.6382978723404256,0.05714285714285714,0.8571428571428571,0.5142857142857142,0.39849624060150374,0.0,1.0
Mekong_119477,260952,1.4740486145019531,1.5564460754394531,0.12261376753267081,0.22752483960506406,0.0,0.38620366025340214,0.13067552602436322,0.3603053435114504,0.0,nan,0.0,nan,0.20155038759689922,0.5060658578856152,0.004429678848283499,0.49295774647887325
Mekong_1248200,260988,1.8588407039642334,3.5211048126220703,0.7001150635974585,0.6950756669787531,0.0,0.9960262670483246,0.4055901696088612,0.9889458993210576,0.532017999307719,0.993241372034446,0.3755624783662167,0.9903749600196369,0.7953444098303911,0.9856079841122201,0.2052613361024576,0.9692307692307692
Mekong_1282475,262144,1.4549901485443115,1.5863142013549805,0.8272157153258382,0.8282424577535761,0.0,0.9441075665699974,0.4312977099236641,0.9672457989176872,0.6030534351145038,0.9859798361688721,0.4122137404580153,0.9880442541042113,0.9198473282442748,0.9391977659304392,0.22137404580152673,0.9531066822977726
Mekong_1395593,261728,1.561283826828003,1.6614999771118164,0.7246346568930561,0.6985973640406163,0.0,0.9292579777008843,0.08108108108108109,0.976305397103993,0.14864864864864866,0.9839662447257383,0.0945945945945946,0.9860809047411918,0.17567567567567569,0.9767631471667346,0.05405405405405406,0.7518796992481203
Mekong_1396181,243062,2.394843578338623,3.584895133972168,0.6256658855216373,0.5707863110415643,0.0,0.9402254093404601,0.4280586766541823,0.951025592773805,0.6604244694132334,0.9438579261805385,0.5090511860174781,0.9528606755465633,0.9608302122347067,0.9051266560220946,0.042134831460674156,0.5964508708511338
Mekong_1413877,256968,1.544132947921753,1.6538801193237305,0.06994065562667987,0.13847955508084825,0.0,0.4823481116584565,0.10403726708074534,0.4124203821656051,0.0,nan,0.0,nan,0.31832298136645965,0.7131837307152875,0.007763975155279503,0.43548387096774194
Mekong_1439641,262083,1.9972152709960938,4.455265045166016,0.801644767122601,0.7675390393479075,0.0,0.9923247130410732,0.44504213734982967,0.9858605374752214,0.4436076743769051,0.9924867651478373,0.4120494889725659,0.989257456256211,0.80921642460104,0.9793957233139988,0.36345705576474807,0.9607377280231949
